index,iso3_code,gini,homicides
1,SVN,24.60,0.48
2,SVK,25.00,1.14
3,BLR,25.20,2.39
4,MDA,25.70,4.10
5,FIN,27.30,1.56
6,NOR,27.60,0.47
7,KGZ,27.70,2.19
8,NLD,28.10,0.59
9,DNK,28.20,1.01
10,MLT,28.70,1.59
11,HUN,29.60,0.89
12,PAK,29.60,3.88
13,HRV,29.70,0.58
14,SWE,30.00,1.08
15,ALB,30.10,2.29
16,POL,30.20,0.73
17,EST,30.30,2.12
18,IRL,30.60,0.81
19,AUT,30.80,0.97
20,DEU,31.70,0.95
21,SYC,32.10,9.27
22,FRA,32.40,1.20
23,CYP,32.70,1.26
24,MNG,32.70,6.18
25,GRC,32.90,0.94
26,MKD,33.00,1.20
27,CHE,33.10,0.59
28,AUS,34.30,0.89
29,ARM,34.40,1.69
30,ESP,34.70,0.62
31,SRB,35.00,1.23
32,LVA,35.10,4.36
33,ITA,35.20,0.59
34,RUS,35.30,8.21
35,LUX,35.40,0.50
36,LTU,35.70,4.57
37,ROU,35.80,1.28
38,GEO,36.40,2.22
39,MNE,36.80,2.23
40,CHN,38.50,0.53
41,ISR,38.60,1.38
42,SLV,38.60,52.11
43,URY,39.70,12.06
44,ARG,41.30,5.38
45,BGR,41.30,1.30
46,USA,41.40,4.95
47,TUR,41.90,2.62
48,IRN,42.00,2.19
49,PHL,42.30,5.30
50,PER,42.40,7.67
51,BOL,42.60,4.79
52,DOM,43.70,10.05
53,ECU,45.40,5.82
54,PRY,46.00,7.14
55,MEX,46.70,29.07
56,CRI,48.00,11.26
57,HND,48.90,38.93
58,PAN,49.20,9.39
59,COL,50.40,25.34
60,BRA,53.90,26.69
